# Deployment Sim 8 (Up to date)
# 1848 data points written for 4 variables.
# Simulation warnings:
#   No recovery device defined in the simulation.
#
# Time (s),Altitude (m),Vertical acceleration (m/s²),Dynamic Pressure (mbar)
# Event IGNITION occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
12.77,1110.94,12.178,196.549
12.82,1119.586,12.27,197.937
12.845,1124.071,12.267,198.655
12.88,1130.074,12.043,199.616
12.93,1138.788,11.979,201.008
12.956,1143.274,11.988,201.724
12.994,1150.019,12.178,202.798
13.029,1156.067,12.229,203.757
13.051,1159.981,12.163,204.378
13.084,1165.863,11.909,205.309
13.13,1173.99,11.831,206.593
13.152,1177.91,11.838,207.212
13.186,1183.8,12.042,208.14
13.231,1191.839,12.068,209.402
13.253,1195.866,12.029,210.033
13.287,1201.918,11.778,210.981
13.323,1208.406,11.683,211.996
13.345,1212.236,11.718,212.594
13.377,1217.99,11.947,213.491
13.418,1225.348,11.969,214.633
13.44,1229.416,11.898,215.264
13.474,1235.53,11.696,216.212
13.518,1243.527,11.68,217.448
13.559,1250.889,11.753,218.583
13.609,1260.006,11.712,219.983
13.659,1269.153,11.596,221.384
13.709,1278.329,11.612,222.786
13.759,1287.534,11.653,224.188
13.809,1296.768,11.546,225.589
13.859,1306.031,11.546,226.992
13.909,1315.322,11.587,228.395
13.959,1324.643,11.492,229.798
14.009,1333.992,11.446,231.201
14.059,1343.37,11.462,232.603
14.109,1352.777,11.408,234.005
14.159,1362.212,11.38,235.406
14.209,1371.676,11.327,236.807
14.259,1381.168,11.299,238.206
14.309,1390.688,11.244,239.605
14.359,1400.237,11.214,241.002
14.409,1409.813,11.219,242.4
14.459,1419.418,11.177,243.796
14.509,1429.05,11.137,245.192
14.559,1438.71,11.089,246.587
14.609,1448.398,11.067,247.98
14.659,1458.114,11.034,249.373
14.709,1467.857,10.966,250.763
14.759,1477.628,10.927,252.152
14.809,1487.425,10.971,253.54
14.859,1497.251,10.886,254.927
14.909,1507.103,10.854,256.324
14.959,1516.983,10.793,257.723
15.009,1526.89,10.782,259.12
15.059,1536.823,10.786,260.516
15.109,1546.784,10.651,261.911
15.159,1556.771,10.664,263.303
15.209,1566.785,10.709,264.695
15.259,1576.826,10.589,266.085
15.309,1586.893,10.55,267.474
15.359,1596.986,10.598,268.861
15.409,1607.106,10.414,270.244
15.459,1617.252,10.496,271.626
15.509,1627.425,10.457,273.006
15.559,1637.623,10.382,274.385
15.609,1647.847,10.38,275.762
15.659,1658.098,10.275,277.135
15.709,1668.374,10.312,278.507
15.759,1678.675,10.236,279.876
15.809,1689.003,10.143,281.241
15.859,1699.356,10.245,282.605
15.909,1709.734,10.13,283.966
15.959,1720.137,10.031,285.325
16.009,1730.566,10.05,286.68
16.059,1741.02,10.072,288.033
16.109,1751.499,9.99,289.383
16.159,1762.003,9.808,290.73
16.209,1772.532,9.993,292.074
16.259,1783.085,9.892,293.415
16.309,1793.663,9.764,294.754
16.359,1804.266,9.95,296.091
16.409,1814.893,9.612,297.424
16.459,1825.545,9.88,298.756
16.509,1836.221,9.698,300.085
16.559,1846.922,9.639,301.411
16.609,1857.646,9.698,302.733
16.659,1868.395,9.562,304.052
16.709,1879.168,9.558,305.367
16.759,1889.964,9.502,306.677
16.809,1900.785,9.568,307.984
16.859,1911.629,9.281,309.286
16.909,1922.497,9.424,310.584
16.959,1933.388,9.517,311.879
17.009,1944.303,9.111,313.17
17.059,1955.24,9.472,314.458
17.109,1966.201,9.236,315.744
17.159,1977.186,9.082,317.026
17.209,1988.193,9.406,318.304
17.259,1999.224,9.012,319.578
17.309,2010.277,9.221,320.87
17.359,2021.353,9.054,322.159
17.409,2032.452,9.205,323.446
17.459,2043.573,8.835,324.729
17.509,2054.718,9.108,326.007
17.559,2065.884,8.943,327.281
17.609,2077.073,8.955,328.55
17.659,2088.285,8.709,329.815
17.709,2099.518,8.928,331.074
17.759,2110.774,8.698,332.328
17.809,2122.051,8.967,333.577
17.858,2133.142,8.347,334.799
17.899,2142.577,8.833,335.833
17.949,2153.916,8.145,337.069
17.983,2161.453,8.623,337.886
18.032,2172.777,8.423,339.108
18.071,2181.6,8.746,340.057
18.118,2192.306,8.039,341.202
18.149,2199.342,8.507,341.951
18.195,2209.91,8.106,343.07
18.245,2221.375,8.871,344.276
18.277,2228.808,8.267,345.055
18.326,2239.974,8.664,346.219
18.355,2246.698,8.204,346.916
18.399,2256.795,8.542,347.958
18.449,2268.345,7.656,349.142
18.475,2274.304,8.161,349.749
18.513,2283.252,8.106,350.658
18.554,2292.659,7.926,351.608
18.604,2304.271,8.119,352.772
18.654,2315.903,8.456,353.93
18.674,2320.547,8.013,354.39
18.704,2327.519,7.853,355.08
18.727,2333.069,7.897,355.627
18.763,2341.403,7.977,356.445
18.792,2348.186,7.823,357.109
18.836,2358.374,8.116,358.102
18.886,2370.098,7.479,359.237
18.936,2381.841,7.559,360.367
18.953,2385.932,7.645,360.759
18.976,2391.356,7.853,361.278
19.003,2397.75,7.744,361.887
19.029,2403.889,7.608,362.469
19.063,2411.954,7.791,363.231
19.113,2423.766,7.625,364.34
19.148,2431.883,7.749,365.098
19.198,2443.727,7.194,366.196
19.22,2449.069,7.534,366.689
19.254,2457.088,7.457,367.425
19.304,2468.972,7.623,368.513
19.32,2472.75,7.644,368.857
19.336,2476.555,7.468,369.202
19.36,2482.265,7.34,369.72
19.378,2486.633,7.384,370.115
19.406,2493.189,7.435,370.704
19.431,2499.172,7.301,371.24
19.468,2508.156,7.53,372.06
19.518,2520.119,7.139,373.149
19.568,2532.101,7.1,374.23
19.585,2536.178,7.109,374.596
19.611,2542.296,7.239,375.143
19.64,2549.4,7.099,375.776
19.685,2560.067,7.212,376.721
19.716,2567.508,6.961,377.376
19.751,2575.98,7.253,378.118
19.801,2588.045,6.681,379.168
19.851,2600.127,6.265,380.211
19.855,2601.219,6.508,380.305
19.861,2602.481,6.614,380.414
19.868,2604.273,6.835,380.568
19.879,2606.962,7.185,380.799
19.886,2608.6,7.357,380.939
19.891,2609.777,7.416,381.04
19.895,2610.867,7.418,381.133
19.9,2612.004,7.368,381.229
19.905,2613.329,7.239,381.342
19.914,2615.317,6.972,381.512
19.926,2618.299,6.59,381.766
19.932,2619.689,6.448,381.884
19.936,2620.839,6.408,381.982
19.941,2621.96,6.424,382.077
19.946,2623.18,6.5,382.18
19.952,2624.729,6.658,382.312
19.962,2627.053,6.95,382.508
19.975,2630.156,7.235,382.771
19.98,2631.401,7.309,382.876
19.985,2632.59,7.296,382.976
19.99,2633.88,7.223,383.084
19.997,2635.543,7.057,383.224
20.007,2638.039,5.947,383.411
20.019,2640.8,2.433,383.498
20.024,2642.192,-0.326,383.49
20.03,2643.537,-2.086,383.453
20.036,2645.056,-3.859,383.377
20.045,2647.305,-6.094,383.194
20.059,2650.677,-9.478,382.763
20.066,2652.364,-12.674,382.473
20.073,2653.905,-14.764,382.167
20.08,2655.651,-16.953,381.773
20.091,2658.269,-19.938,381.087
# Event BURNOUT occurred at t=20.1 seconds
# Event BURNOUT occurred at t=20.1 seconds
# Event BURNOUT occurred at t=20.1 seconds
